label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de,ar-EG
config_stock_location_required,Bolt helyszín szám kötelező mező,Lagerort Nummer ist erforderlich,Naam van de stock locatie is een verplicht veld,Número de Ubicación de Inventario es requerido,Stock location is a required field,Stock location number is a required field,Stock location number is a required field,Stock location number is a required field,จำเป็นต้องระบุสถานที่เก็บ,Mağaza Yeri numarası zorunlu alandır,Stock location number is a required field,Número da localização do estoque é um campo obrigatório,Naziv skladišta je potreban,Lagerort Nummer ist erforderlich,مكان المخزون مطلوب
config_takings_printer,Takings Printer,Takings Printer,Takings Printer,Impresion de retenciones,Takings Printer,Takings Printer,Takings Printer,Takings Printer,Takings Printer,Takings Printer,Takings Printer,Imprimir Vendas,Printer za 'Prodano',Takings Printer,طابعة الإيراد
config_tax_decimals,Tax Decimals,Tax Decimals,Tax Decimals,Decimales de impuestos,Tax Decimals,Tax Decimals,Tax Decimals,Tax Decimals,Tax Decimals,Tax Decimals,Tax Decimals,Decimais da taxa,Porezne decimale,Tax Decimals,العلامة العشرية للضريبة
config_tax_included,Adókat tartalmaz,MWSt inbegriffen,VAT Inbegrepen,Impuestos incluidos,Tax Included,Tax Included,Tax Included,Tax Included,รวมภาษีแล้ว,Tax Included,Dikenakan Pajak,Imposto Incluído,Uključuje porez,MWSt inbegriffen,شامل الضريبة
config_thousands_separator,Ezres elválasztó,Tausendertrennzeichen,Thousands Separator,Separador de miles,Thousands Separator,Thousands Separator,Thousands Separator,Thousands Separator,ตัวคั่นหลักพัน,Thousands Separator,Pemisah Ribuan,Separador de milhar,Razdjelnik za tisućice,Tausendertrennzeichen,فاصل الاف
config_timezone,Időzóna,Zeitzone,Tijdzone,Zona Horaria,Timezone,Fuseau Horaire,時區,Часовой пояс,โซนเวลา,Saat Dilimi,Zona Waktu,Fuso horário,Vremenska zona,Zeitzone,المنطقة الزمنية
config_top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Top,Topo,Top,Top,علوى
config_website,Weboldal,Website,Website,Sitio Web,Website,Site-web,網站,Веб-сайт,เว็บไซต์,Website,Situs Perusahaan,Site da internet,web strana,Website,موقع الشركة
config_number_locale,Lokalizációs,Länderkonfiguration,Localisation,Ubicación,Localisation,Localisation,Localisation,Localisation,Localisation,Localisation,Localisation,Localização,Lokalnoj,Länderkonfiguration,التهيئة الاقليمية
config_return_policy_required,Return policy is a required field,Rücknahmepolitik erforderlich,De retourvoorwaarden moeten ingevuld worden,Política de Devolución es requerida,Return policy is a required field,Le Message est un champ requis,退換貨政策為必填,Возвратний полис обязательный пробел,ต้องกรอกเงื่อนไขการคืนสินค้า,İade Politikası zorunlu alandır,Kebijakan retur wajib diisi,A política de devolução é um campo obrigatório,Polje za povratne obavijesti je potrebno,Rücknahmepolitik erforderlich,سياسة الإسترجاع مطلوب
config_number_locale_required,Number Locale is a required field,Localennummer ist ein Pflichtfeld,Number Locale is a required field,Numero local es un campo requerido,Number Locale is a required field,Number Locale is a required field,Number Locale is a required field,Number Locale is a required field,Number Locale is a required field,Number Locale is a required field,Number Locale is a required field,Número Local é um campo obrigatório,Number Locale is a required field,Localennummer ist ein Pflichtfeld,رقم التهيئة الإقليمية مطلوب
config_number_locale_invalid,The entered locale is invalid. Check the link in the tooltip to find a sensible value,Die eingegebene Lokale ist falsch. Bitte sehen Sie sich den Link tim Tooltip an um einen korrekten Wert zu finden,The entered locale is invalid. Check the link in the tooltip to find a sensible value,El local ingresado es invalido. Revisa el link en el tooltip para encontrar informacion,The entered locale is invalid. Check the link in the tooltip to find a sensible value,The entered locale is invalid. Check the link in the tooltip to find a sensible value,The entered locale is invalid. Check the link in the tooltip to find a sensible value,The entered locale is invalid. Check the link in the tooltip to find a sensible value,The entered locale is invalid. Check the link in the tooltip to find a sensible value,The entered locale is invalid. Check the link in the tooltip to find a sensible value,The entered locale is invalid. Check the link in the tooltip to find a sensible value,A localidade digitada é inválida. Verifique o link na dica para encontrar um valor aceitável,The entered locale is invalid. Check the link in the tooltip to find a sensible value,Die eingegebene Lokale ist falsch. Bitte sehen Sie sich den Link tim Tooltip an um einen korrekten Wert zu finden,التهيئة الإقليمية المختارة غير صحية، راجع الرابط الموجود فى الملاحظة لاختيار تهيئة مناسبة
config_number_locale_tooltip,Find a suitable locale through this link,Finden Sie eine korrekte Lokale über diesen Link,Find a suitable locale through this link,Encontrar un local adecuado en esta liga,Find a suitable locale through this link,Find a suitable locale through this link,Find a suitable locale through this link,Find a suitable locale through this link,Find a suitable locale through this link,Find a suitable locale through this link,Find a suitable locale through this link,Encontrar um local adequado através deste link,Find a suitable locale through this link,Finden Sie eine korrekte Lokale über diesen Link,إيجاد تهيئة إقليمية مناسبة عبر الرابط
config_theme,Theme,Design,Theme,Tema,Theme,Theme,Theme,Theme,Theme,Theme,Theme,Tema,Theme,Design,السمة
